"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-LD-2-MG1","SL18-LD-2-MG1",0.00168631705314931,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.49390923599923e-06,NA,"Ne60",1.49390923599923e-06,0.00168631705314931,2.17683098802493e-07,-0.0405177563407626,"LD","GOM"
"SA18-CB-1-MG2","SA18-CB-1-MG2",0.0027918218940637,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00807311300595945,NA,"Ne60",0.00807311300595945,0.0027918218940637,0.0142096873643247,0.0623390080154231,"CB","GOM"
"SL18-NL-9-MG1","SL18-NL-9-MG1",-0.0899679127975626,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.51374622086533e-06,NA,"Ne60",1.51374622086533e-06,-0.0899679127975626,7.52835074037762e-08,-0.134027097763865,"NL","GOM"
"SA18-CB-2-MG1","SA18-CB-2-MG1",0.0329532531836834,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00663816704298639,NA,"Ne60",0.00663816704298639,0.0329532531836834,1.12071008922981e-06,0.0105188726098742,"CB","GOM"
"SA18-CB-4-MG1","SA18-CB-4-MG1",-0.0272301046785355,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.4527431195711e-07,NA,"Ne60",1.4527431195711e-07,-0.0272301046785355,6.04940667683094e-08,-0.0497791087579003,"CB","GOM"
"SL18-OI-18-MG1","SL18-OI-18-MG1",0.0120440092007884,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,3.33663307815592e-07,NA,"Ne60",3.33663307815592e-07,0.0120440092007884,7.47656094339876e-08,-0.0693288010378651,"OI","GOM"
"SL18-LL-9-MG3","SL18-LL-9-MG3",-0.00531977253455007,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,4.67746253407574e-07,NA,"Ne60",4.67746253407574e-07,-0.00531977253455007,4.96742513452651e-07,-0.0238054853729467,"LL","GOM"
"SA18-CB-10-MG1","SA18-CB-10-MG1",0.175295449096948,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.87363287324062e-07,NA,"Ne60",2.87363287324062e-07,0.175295449096948,0.00371779172044773,0.197475549126799,"CB","GOM"
"SA18-CB-3-MG3","SA18-CB-3-MG3",0.143730337211587,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00920400036527983,NA,"Ne60",0.00920400036527983,0.143730337211587,0.0122130925120427,0.155804832149363,"CB","GOM"
"SL18-NL-10-MG2","SL18-NL-10-MG2",-0.0640017360657878,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000395738463377837,NA,"Ne60",0.000395738463377837,-0.0640017360657878,3.11697464816053e-06,-0.087778367855232,"NL","GOM"
