"","DWpM","WWpM","PDW","BD"
"SL18-CB-10",-0.00000000000000000404406017916976,-0.0000000000000000848847267577942,0.0000000000000000509629774120942,-0.0000000000000432733005460115
"SA18-CB-10-FG1",0.0820251676423682,0.211414959505707,-0.0105183710458228,22.6394968656918
"SL18-LD-10-FG1",0.00972063378248145,0.0103622576089026,0.00307172825867067,2.29162475434537
"SL18-NL-6-FG1",0.0537316688339885,0.263470284863976,-0.111488372879654,93.1444496742902
"SL18-LD-10-FG2",-0.00796248368767211,-0.0623300439011902,0.048838243868523,1.81574125216506
"SL18-NL-9-FG2",-0.0198235896109893,0.0231295147987674,-0.129189321081548,27.6854925542559
"SL18-OI-15-FG1",0.0225172211637027,0.138755092875192,-0.0304206025947699,19.3426160268263
"SL18-OI-16-FG3",-0.0234608411401718,-0.0354962925207702,0.00781692498663116,5.63657282971558
"SL18-LD-13-FG2",-0.0311872640148042,-0.0785078268895877,0.0388869808098543,-0.577872477570049
"SL18-OI-17-FG1",0.0128690334444533,0.0448129119465155,-0.026136958421362,2.93081150104606
"SL18-OI-18-FG1",0.0145810308938988,0.0630832103667228,0.0279964104703151,-4.09910640748496
"SL18-OI-18-FG2",-0.00389505632978254,-0.042739218731782,0.0932882747657519,-26.5090053384426
"SL18-OI-2-FG2",-0.00822619034981539,-0.0748254558417784,0.0540104918297716,-26.2370919187562
"SL18-LD-1-FG1",-0.0284057295714158,-0.152411656101401,0.0692349288120907,-2.96668347258502
"SL18-OI-2-FG3",-0.0115107859254275,-0.0849849385448215,0.0300591501320314,-9.0819900275367
"SL18-OI-6-FG1",0.00478873682995363,0.0115747188748916,0.0915048348163053,-43.285682890494
"SL18-OI-9-FG1",-0.00453175356476531,-0.0120459577205223,0.0131623657460238,7.17484699201501
"SL18-SF-13-FG1",-0.0165199474012258,-0.093444312164082,0.103100744927728,-16.8706828133257
"SL18-LD-1-FG2",0.0110644664923701,0.0296160291119441,-0.00274349226512097,12.9372494411269
"SA18-CB-4-FG3",0.0345776907994556,0.0858522240835061,-0.0440282480940849,-16.8504198890643
"SL18-LD-2-FG2",-0.0342883833066921,-0.219661631664035,0.208877941313517,-40.2687709780565
"SL18-LD-3-FG1",-0.0166577849334815,-0.0911825728033323,0.07826707834242,-24.0507171180904
"SL18-LD-3-FG2",0.00781420004220674,0.0430095938764144,-0.035908424953408,14.5665114663677
"SL18-LD-4-FG3",0.00319555344044715,-0.00968272435425953,0.00687733572542789,-4.00319300931077
"SA18-CB-7-FG1",0.100576179326021,0.272405666225946,0.00840883404818239,18.1487293106409
"SL18-LD-9-FG2",-0.00608362709996611,-0.0837936699317386,0.0582813521104232,-35.416199527626
