Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S235,4,,,,,,,,,,,,,,,
S235,5,,,,,,,,,,,,,,,
S236,1,,,,,,,,,,,,,,,
S236,2,,,,,,,,,,,,,,,
S236,3,,,,,,,,,,,,,,,
S236,4,,,,,,,,,,,,,,,
S236,5,,,,,,,,,,,,,,,
S237,1,,,,,,,,,,,,,,,
S237,2,,,,,,,,,,,,,,,
S237,3,,,,,,,,,,,,,,,
S237,4,,,,,,,,,,,,,,,
S237,5,,,,,,,,,,,,,,,
S238,1,,,,,,,,,,,,,,,
S238,2,,,,,,,,,,,,,,,
S238,3,,,,,,,,,,,,,,,
S238,4,,,,,,,,,,,,,,,
S238,5,,,,,,,,,,,,,,,
S239,1,,,,,,,,,,,,,,,
S239,2,,,,,,,,,,,,,,,
S239,3,,,,,,,,,,,,,,,
S239,4,,,,,,,,,,,,,,,
S239,5,,,,,,,,,,,,,,,
S240,1,163.3,16,1.48,9.3,4.09,183.18,21.4,11.68249809,,,No,Yes,Yes,Yes,
S240,2,160.9,11.6,0.65,4.9,4.35,108.28,9.28,8.570373107,,,No,Yes,No,Yes,
S240,3,163.7,15.6,0.59,5.7,3.62,164.48,14.72,8.949416342,,,No,Yes,No,No,
S240,4,202,14.6,1.03,7.2,3.31,273.58,24.73,9.039403465,,,Yes,Yes,Yes,Yes,
S240,5,235.9,19.4,0.46,5.2,3.4,216.88,22.01,10.1484692,,,Yes,Yes,Yes,No,
S241,1,,,,,,,,,,,,,,,
S241,2,,,,,,,,,,,,,,,
S241,3,,,,,,,,,,,,,,,
S241,4,,,,,,,,,,,,,,,
S241,5,,,,,,,,,,,,,,,
S242,1,138,7.3,0.68,12.2,3.44,46.93,5.36,11.42126571,,,No,Yes,No,No,
S242,2,196.7,16.5,0.86,8.3,3.6,184.76,25.61,13.86122537,,,No,Yes,No,No,
S242,3,212.5,13.6,0.86,11.4,4.33,159.92,21.33,13.33791896,,,No,Yes,No,No,
S242,4,130.7,10.1,0.69,7.6,3.15,58.75,7.04,11.98297872,,,No,Yes,No,No,
S242,5,115.2,3.7,0.48,5,2.26,15.57,1.1,7.064868337,,,No,Yes,No,No,
S243,1,,,,,,,,,,,,,,,
S243,2,,,,,,,,,,,,,,,
S243,3,,,,,,,,,,,,,,,
S243,4,,,,,,,,,,,,,,,
S243,5,,,,,,,,,,,,,,,
S244,1,,,,,,,,,,,,,,,
S244,2,,,,,,,,,,,,,,,
S244,3,,,,,,,,,,,,,,,
S244,4,,,,,,,,,,,,,,,
S244,5,,,,,,,,,,,,,,,
S245,1,,,,,,,,,,,,,,,
S245,2,,,,,,,,,,,,,,,
S245,3,,,,,,,,,,,,,,,
S245,4,,,,,,,,,,,,,,,
S245,5,,,,,,,,,,,,,,,
S246,1,,,,,,,,,,,,,,,
S246,2,,,,,,,,,,,,,,,
S246,3,,,,,,,,,,,,,,,
S246,4,,,,,,,,,,,,,,,
S246,5,,,,,,,,,,,,,,,
S247,1,86.5,15,0.75,17,4.93,66.47,7.38,11.10275312,,,No,Yes,No,Yes,
S247,2,121.4,14.2,0.99,58.4,7.59,99.33,10.04,10.10772174,,,No,Yes,No,Yes,
S247,3,87.3,11.2,1.09,26.1,6.69,63.42,7.68,12.10974456,,,Yes,Yes,No,Yes,broken blade
S247,4,52.6,8.6,0.99,35.5,6.16,33.16,3.36,10.13268999,,,No,Yes,No,Yes,
S247,5,118.4,12.4,0.86,61.8,7.43,93.05,10.83,11.63890382,,,No,Yes,No,Yes,
S248,1,104.6,11.9,1.07,45.7,7.16,86.13,8.29,9.624985487,,,No,Yes,No,No,
S248,2,67.8,8.8,0.89,18.9,4.96,35.78,3.28,9.167132476,,,No,Yes,No,No,
S248,3,134.5,13,1.02,13.6,5.02,115.25,11.05,9.587852495,,,No,Yes,No,No,
S248,4,70.7,10.7,0.75,8.1,4.33,33.56,3.07,9.147794994,,,No,Yes,No,No,
S248,5,158.1,16.7,1.03,10.4,4.81,145.72,14.95,10.25940159,,,No,Yes,No,No,
S249,1,,,,,,,,,,,,,,,
S249,2,,,,,,,,,,,,,,,
S249,3,,,,,,,,,,,,,,,
S249,4,,,,,,,,,,,,,,,
S249,5,,,,,,,,,,,,,,,
S250,1,,,,,,,,,,,,,,,
S250,2,,,,,,,,,,,,,,,
S250,3,,,,,,,,,,,,,,,
S250,4,,,,,,,,,,,,,,,
S250,5,,,,,,,,,,,,,,,
S251,1,193.4,19.2,1.15,12.3,4.29,169.93,22.73,13.37609604,,,No,Yes,Yes,No,
S251,2,47.5,9.8,0.4,7.2,3.07,15.29,1.81,11.83780249,,,No,Yes,No,Yes,
S251,3,101.1,12.1,0.82,8.7,3.82,49.53,5.32,10.74096507,,,No,No,No,No,
S251,4,57.6,8.6,1.09,5.4,2.49,15.35,3.53,22.99674267,,,No,No,No,Yes,
S251,5,47.7,8.7,0.51,7.4,3.26,17.05,,0,,,No,No,No,Yes,
S252,1,,,,,,,,,,,,,,,
S252,2,,,,,,,,,,,,,,,
S252,3,,,,,,,,,,,,,,,
S252,4,,,,,,,,,,,,,,,
S252,5,,,,,,,,,,,,,,,
S253,1,199.9,20.2,0.85,5.4,2.98,243.31,28.76,11.82031154,,,Yes,Yes,Yes,Yes,
S253,2,174.6,21.8,1.13,4,3.42,170.88,18.82,11.01357678,,,Yes,Yes,Yes,Yes,
S253,3,280.2,24.3,0.97,5,3.17,323.29,37.96,11.74177983,,,Yes,Yes,Yes,Yes,
S253,4,226.8,23.1,0.99,4.3,3.21,226,27.18,12.02654867,,,Yes,Yes,Yes,Yes,
S253,5,149,22.3,1.09,3.6,3.27,194.64,20.98,10.77887382,,,Yes,Yes,Yes,Yes,
S254,1,,,,,,,,,,,,,,,
S254,2,,,,,,,,,,,,,,,
S254,3,,,,,,,,,,,,,,,
S254,4,,,,,,,,,,,,,,,
S254,5,,,,,,,,,,,,,,,
S255,1,,,,,,,,,,,,,,,
S255,2,,,,,,,,,,,,,,,
S255,3,,,,,,,,,,,,,,,
S255,4,,,,,,,,,,,,,,,
S255,5,,,,,,,,,,,,,,,
S256,1,,,,,,,,,,,,,,,
S256,2,,,,,,,,,,,,,,,
S256,3,,,,,,,,,,,,,,,
S256,4,,,,,,,,,,,,,,,
S256,5,,,,,,,,,,,,,,,
S257,1,,,,,,,,,,,,,,,
S257,2,,,,,,,,,,,,,,,
S257,3,,,,,,,,,,,,,,,
S257,4,,,,,,,,,,,,,,,
S257,5,,,,,,,,,,,,,,,
Check2,1,,,,,,,,,,,,,,,
Check2,2,,,,,,,,,,,,,,,
Check2,3,,,,,,,,,,,,,,,
Check2,4,,,,,,,,,,,,,,,
Check2,5,,,,,,,,,,,,,,,
S258,1,,,,,,,,,,,,,,,
S258,2,,,,,,,,,,,,,,,
S258,3,,,,,,,,,,,,,,,
S258,4,,,,,,,,,,,,,,,
S258,5,,,,,,,,,,,,,,,
S259,1,,,,,,,,,,,,,,,
S259,2,,,,,,,,,,,,,,,
S259,3,,,,,,,,,,,,,,,
S259,4,,,,,,,,,,,,,,,
S259,5,,,,,,,,,,,,,,,
S260,1,83.4,21.6,0.74,21.1,6.15,59.96,5.72,9.539693129,,,No,Yes,No,No,
S260,2,174,19.9,0.73,42.2,6.05,171.57,17.7,10.3164889,,,No,Yes,No,No,
S260,3,95.1,18.9,1,11.5,5,85.91,8.59,9.998835991,,,No,Yes,No,No,
S260,4,167.8,20.8,1.13,27.4,6.65,141,13.98,9.914893617,,,No,Yes,No,No,
S260,5,91.7,17.1,0.8,16.6,5.79,59.74,6.13,10.26113157,,,No,Yes,No,No,
S261,1,,,,,,,,,,,,,,,
S261,2,,,,,,,,,,,,,,,
S261,3,,,,,,,,,,,,,,,
S261,4,,,,,,,,,,,,,,,
S261,5,,,,,,,,,,,,,,,
S262,1,,,,,,,,,,,,,,,
S262,2,,,,,,,,,,,,,,,
S262,3,,,,,,,,,,,,,,,
S262,4,,,,,,,,,,,,,,,
S262,5,,,,,,,,,,,,,,,
S263,1,124.5,12.8,0.66,5.4,3.23,71.77,6.26,8.722307371,,,No,Yes,No,No,
S263,2,116.7,16.3,0.6,6.5,3.33,77.86,7.65,9.825327511,,,No,Yes,No,No,broken blade
S263,3,151,17.9,0.6,5.3,3.01,116.37,12.33,10.59551431,,,No,Yes,No,No,
S263,4,172,15.4,0.67,6,3.36,118.99,11.15,9.370535339,,,No,Yes,No,No,
S263,5,170.3,11.6,0.78,5.8,3.08,88.79,8.89,10.01238878,,,No,Yes,No,No,
S264,1,,,,,,,,,,,,,,,
S264,2,,,,,,,,,,,,,,,
S264,3,,,,,,,,,,,,,,,
S264,4,,,,,,,,,,,,,,,
S264,5,,,,,,,,,,,,,,,
S265,1,141.1,24,0.94,5.9,4.8,201.11,19.81,9.850330665,,,No,Yes,Yes,No,broken stipe
S265,2,148.6,20.3,0.98,16.7,6.06,197.83,17.13,8.658949603,,,No,Yes,No,No,broken stipe
S265,3,173.7,27.4,1.1,36.9,8.46,299.08,25.29,8.455931523,,,No,Yes,Yes,Yes,broken stipe
S265,4,125.5,20.4,1.03,21.8,6.44,163.98,13.66,8.330284181,,,No,Yes,No,No,
S265,5,117.5,24.3,0.92,25.6,7.68,160.51,15.42,9.606878076,,,No,Yes,No,No,
S266,1,,,,,,,,,,,,,,,
S266,2,,,,,,,,,,,,,,,
S266,3,,,,,,,,,,,,,,,
S266,4,,,,,,,,,,,,,,,
S266,5,,,,,,,,,,,,,,,
S267,1,,,,,,,,,,,,,,,
S267,2,,,,,,,,,,,,,,,
S267,3,,,,,,,,,,,,,,,
S267,4,,,,,,,,,,,,,,,
S267,5,,,,,,,,,,,,,,,
S268,1,102.3,24,0.68,6.8,3.71,139.63,12.02,8.60846523,,,No,Yes,No,No,
S268,2,93.3,26.7,0.68,5.4,3.12,156.54,17.27,11.03232401,,,No,Yes,No,No,
S268,3,120.1,22.3,0.85,2.8,2.95,162.66,19.24,11.82835362,,,No,Yes,No,No,broken stipe
S268,4,60.1,16.4,0.52,7.6,3.94,42.85,3.25,7.584597433,,,No,Yes,No,No,
S268,5,90.2,23.4,0.66,3.9,3.63,117.18,10.21,8.713090971,,,No,Yes,No,No,broken stipe
S269,1,,,,,,,,,,,,,,,
S269,2,,,,,,,,,,,,,,,
S269,3,,,,,,,,,,,,,,,
S269,4,,,,,,,,,,,,,,,
S269,5,,,,,,,,,,,,,,,
S270,1,,,,,,,,,,,,,,,
S270,2,,,,,,,,,,,,,,,
S270,3,,,,,,,,,,,,,,,
S270,4,,,,,,,,,,,,,,,
S270,5,,,,,,,,,,,,,,,
S271,1,,,,,,,,,,,,,,,
S271,2,,,,,,,,,,,,,,,
S271,3,,,,,,,,,,,,,,,
S271,4,,,,,,,,,,,,,,,
S271,5,,,,,,,,,,,,,,,
S272,1,93.7,10.9,0.7,7.7,4.46,48.7,4.54,9.32238193,,,No,Yes,No,Yes,ruffles
S272,2,113,13.6,0.56,8.8,4.45,57.1,5.78,10.12259194,,,No,Yes,Yes,Yes,ruffles
S272,3,152.8,14.3,0.96,9.9,4.8,130,12.59,9.684615385,,,No,Yes,Yes,Yes,ruffles
S272,4,66.5,11.9,0.78,7.5,4.04,39.2,3.51,8.954081633,,,No,Yes,No,Yes,"broken blade, ruffles"
S272,5,91,11.6,0.68,8.6,4.43,44.91,4.46,9.930973057,,,No,Yes,No,Yes,ruffles
S273,1,88,14,0.88,10.5,5.75,48.8,4.45,9.118852459,,,No,Yes,No,Yes,"broken blade, horse mane"
S273,2,145,17.5,0.96,6,5.2,101.1,10.48,10.36597428,,,No,Yes,Yes,Yes,
S273,3,99,10,0.85,8,5,24.1,3.82,15.85062241,,,No,Yes,No,Yes,broken blade
S273,4,85,13.8,0.67,10.4,5.7,45,4.14,9.2,,,No,Yes,No,Yes,
S273,5,128,18.5,0.85,4.4,3.95,87.9,9.86,11.21729238,,,No,Yes,Yes,Yes,
Check2,1,,,,,,,,,,,,,,,
Check2,2,,,,,,,,,,,,,,,
Check2,3,,,,,,,,,,,,,,,
Check2,4,,,,,,,,,,,,,,,
Check2,5,,,,,,,,,,,,,,,
S274,1,94.8,14.2,0.8,11,4.72,48.09,5.08,10.56352672,,,No,Yes,No,Yes,Ruffles
S274,2,185.8,20.4,0.93,10,4.69,190.92,19.46,10.19275089,,,Yes,Yes,No,Yes,Ruffles
S274,3,161.8,15.8,0.88,11.2,5.54,155.43,15.23,9.798623174,,,Yes,Yes,No,Yes,Ruffles
S274,4,121.3,8.9,1.14,13.5,5.74,55.45,5.56,10.0270514,,,Yes,Yes,No,Yes,Ruffles
S274,5,142.4,12.9,1.26,18.8,5.77,151.51,14.26,9.411920005,,,No,Yes,No,Yes,Ruffles
S275,1,,,,,,,,,,,,,,,
S275,2,,,,,,,,,,,,,,,
S275,3,,,,,,,,,,,,,,,
S275,4,,,,,,,,,,,,,,,
S275,5,,,,,,,,,,,,,,,
S276,1,,,,,,,,,,,,,,,
S276,2,,,,,,,,,,,,,,,
S276,3,,,,,,,,,,,,,,,
S276,4,,,,,,,,,,,,,,,
S276,5,,,,,,,,,,,,,,,
S277,1,124,11.2,0.91,9,5.4,105.46,8.41,7.974587521,,,No,Yes,No,No,
S277,2,117.3,18.8,0.65,5.5,3.35,119.79,10.08,8.41472577,,,No,Yes,No,No,
S277,3,92.5,12,0.82,4.7,3.56,63.48,5.13,8.081285444,,,No,Yes,No,No,
S277,4,28.1,6.2,0.54,2,2.11,6.02,0.53,8.803986711,,,No,Yes,No,No,broken stipe
S277,5,143.2,19.3,1.01,6.1,3.29,155.76,14,8.988186954,,,No,Yes,Yes,No,
S278,1,,,,,,,,,,,,,,,
S278,2,,,,,,,,,,,,,,,
S278,3,,,,,,,,,,,,,,,
S278,4,,,,,,,,,,,,,,,
S278,5,,,,,,,,,,,,,,,
S279,1,144.3,14.9,0.83,19.5,6.82,144.91,12.19,8.412117866,,,No,Yes,Yes,Yes,ruffles
S279,2,142,17,1.07,23.2,7.36,129.2,11.08,8.575851393,,,No,Yes,Yes,Yes,ruffles
S279,3,64.1,20.1,0.67,7.7,5.04,43.17,3.93,9.103544128,,,No,Yes,No,Yes,ruffles
S279,4,133.3,17.8,0.96,17.3,7.86,232.57,22.19,9.541213398,,,No,Yes,Yes,Yes,ruffles
S279,5,146.7,17,0.96,20.8,7.96,173.06,15.12,8.73685427,,,No,Yes,Yes,Yes,ruffles
S280,1,179.4,21,0.99,6.6,3.92,248.2,26.27,10.58420629,,,No,Yes,No,Yes,
S280,2,165.6,20.3,0.84,0.84,3.66,162.45,17.76,10.93259464,,,No,Yes,No,Yes,
S280,3,55.4,12.1,0.59,0.59,3.49,28.36,2.79,9.837799718,,,No,Yes,No,Yes,
S280,4,53.1,7.1,0.7,0.7,2.7,21.08,1.93,9.155597723,,,No,Yes,No,Yes,
S280,5,25.6,7.4,0.47,0.47,2.22,8.3,0.74,8.915662651,,,No,Yes,No,Yes,
S281,1,158.5,32.4,0.73,17.5,5.8,210.1,23.26,11.07091861,,,Yes,Yes,Yes,Yes,
S281,2,184.8,18.7,0.51,23.7,6.56,136.15,14.56,10.6940874,,,Yes,Yes,Yes,Yes,
S281,3,151,21.1,0.95,24,8.01,187.2,19.48,10.40598291,,,Yes,Yes,No,Yes,broken blade
S281,4,157,23.9,0.74,18.6,5.88,172.31,18.2,10.56235854,,,Yes,Yes,Yes,Yes,
S281,5,164.3,21.4,0.65,20.7,6.15,131.56,13.65,10.37549407,,,Yes,Yes,Yes,Yes,
S282,1,,,,,,,,,,,,,,,
S282,2,,,,,,,,,,,,,,,
S282,3,,,,,,,,,,,,,,,
S282,4,,,,,,,,,,,,,,,
S282,5,,,,,,,,,,,,,,,
S283,1,,,,,,,,,,,,,,,
S283,2,,,,,,,,,,,,,,,
S283,3,,,,,,,,,,,,,,,
S283,4,,,,,,,,,,,,,,,
S283,5,,,,,,,,,,,,,,,
S284,1,288.4,6.6,1.09,19.6,6.53,108.63,9.91,9.122710117,,,No,Yes,No,Yes,broken stipe and blade
S284,2,239.3,5.2,0.85,14.7,6.14,85.44,8.43,9.866573034,,,No,Yes,No,Yes,broken stipe and blade
