Plot #,Cross ID,FemaleGP,Female Location,MaleGP,Male Location,Crosses,Cross Location,Category,Site,F_Keeper,M_Keeper,Painting Density ,Development Ranking,Contamination is Culture,Line ,Position,Block,Harvest Date,Sample Date,Time,Recorder,Photo,Photo Score,Wet Weight of Plot (kg),Length of Plot (m),Wet Weight per meter (kg),% Dry Weight (Subsample),Dry Yield (kg/m) (Subsample),% Dry Weight (Individual),Dry Yield (kg/m) (Individual),Sporphyte Density per Meter,Blade Length (cm),Blade Width Max (cm),Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),% Dry Weight,Stipe Hollow (Y),Stipe Hollow (N),Bullations (Y),Bullations (N),Fouling (Y),Fouling (N),Sorrus Tissue (Y),Sorrus Tissue (N)
S34,SL20_UCONN_S34,SL18-OD-3-FG2,OD,SL18-OI-11-MG1,OI,SL18-OD-3-FG2xSL18-OI-11-MG1,OD x OI,Top160,GOM,,,,,,1,36,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S35,SL20_UCONN_S35,SL18-NL-3-FG1,NL,SL18-OI-14-MG1,OI,SL18-NL-3-FG1xSL18-OI-14-MG1,NL x OI,Extra,GOM,,,,,,1,37,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S36,SL20_UCONN_S36,SL18-NL-10-FG2,NL,SL18-NL-6-MG1,NL,SL18-NL-10-FG2xSL18-NL-6-MG1,NL x NL,Within,GOM,,,,,,1,38,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S37,SL20_UCONN_S37,SL18-OI-16-FG3,OI,SL18-LD-1-MG3,LD,SL18-OI-16-FG3xSL18-LD-1-MG3,OI x LD,Extra,GOM,,,,,,1,39,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S38,SL20_UCONN_S38,SL18-JS-5-FG2,JS,SL18-CC-2-MG6,CC,SL18-JS-5-FG2xSL18-CC-2-MG6,JS x CC,Extra,GOM,,,,,,1,40,4,6/7/21,6/8/21,10:46,,Yes,3,12.6,0.871,14.47,9.77,1.413000034,9.418398398,1.362477839,212.5,163.76,15.28,1.02,12.12,4.96,9.42,0,0,4,1,5,0,4,1
S39,SL20_UCONN_S39,SL19-UCONN-BL4S,UCONN,SL19-UCONN-BL4S,UCONN,SL19-UCONN-BL4SxSL19-UCONN-BL4S,UCONN x UCONN,4000,GOM,,,,,,1,41,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S40,SL20_UCONN_S40,SL19-UCONN-53,UCONN,SL19-UCONN-53,UCONN,SL19-UCONN-53xSL19-UCONN-53,UCONN x UCONN,4000,GOM,,,,,,1,42,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S41,SL20_UCONN_S41,SL18-UCONN-S157-FG1,UCONN,SL18-OI-17-MG1,OI,SL18-UCONN-S157-FG1xSL18-OI-17-MG1,UCONN x OI,Top160,GOM,,,,,,1,43,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S42,SL20_UCONN_S42,SL18-CC-5-FG3,CC,SL18-OI-17-MG1,OI,SL18-CC-5-FG3xSL18-OI-17-MG1,CC x OI,Top160,GOM,,,,,,1,44,4,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S43,SL20_UCONN_S43,SL18-UCONN-S94-FG3,UCONN,SL18-OI-15-MG1,OI,SL18-UCONN-S94-FG3xSL18-OI-15-MG1,UCONN x OI,Top160,GOM,,,,,,1,45,5,6/7/21,6/8/21,10:55,,Yes,3,7.82,0.815,9.6,10.97,1.052948277,9.771431088,0.937577805,350,152.52,11.82,0.88,13.36,4.75,9.77,0,0,0,5,5,0,1,4
S44,SL20_UCONN_S44,SL18-UCONN-S142-FG2,UCONN,SL18-OI-15-MG1,OI,SL18-UCONN-S142-FG2xSL18-OI-15-MG1,UCONN x OI,Top160,GOM,,,,,,1,46,5,6/7/21,6/8/21,10:58,,Yes,3,9.17,0.76,12.07,11.4,1.375289795,9.963171733,1.202135326,112.5,111.74,22.16,0.76,29.98,6,9.96,0,0,0,5,5,0,1,4
S45,SL20_UCONN_S45,SL18-LL-9-FG1,LL,SL18-JS-19-MG1,JS,SL18-LL-9-FG1xSL18-JS-19-MG1,LL x JS,Top160,GOM,,,,,,1,47,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S46,SL20_UCONN_S46,SL19-UCONN-23,UCONN,SL19-UCONN-23,UCONN,SL19-UCONN-23xSL19-UCONN-23,UCONN x UCONN,4000,GOM,,,,,,1,48,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S47,SL20_UCONN_S47,,,,,SL20-DW-1xSL20-DW-2xSL20-DW-3, x ,Industry Cross,GOM,,,,,,1,49,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S48,SL20_UCONN_S48,SL18-CC-9-FG1,CC,SL18-OI-14-MG1,OI,SL18-CC-9-FG1xSL18-OI-14-MG1,CC x OI,Extra,GOM,,,,,,1,50,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S49,SL20_UCONN_S49,,,,,SL20-GS-12xSL20-DW-9xSL20-LE-4xSL20-JL-6, x ,Industry Cross,GOM,,,,,,1,51,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S50,SL20_UCONN_S50,SL18-NL-5-FG1,NL,SL18-SF-13-MG13,SF,SL18-NL-5-FG1xSL18-SF-13-MG13,NL x SF,Diversity,GOM,,,,,,1,52,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S51,SL20_UCONN_S51,SL19-UCONN-53,UCONN,SL19-UCONN-53,UCONN,SL19-UCONN-53xSL19-UCONN-53,UCONN x UCONN,4000,GOM,,,,,,1,53,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
