"","BLUE_DwPM_2Yrs","CrossName","BLUE_DwPM_2019","BLUE_DwPM_2020","BLUE_DwPM_2019_2","BLUE_DwPM_2020_2","BV_DWpM"
"SL18-NL-7-FG4xSA18-CB-1-MG12",-0.0233780905593039,"SL18-NL-7-FG4xSA18-CB-1-MG12",NA,-1.184919735,NA,-1.184919735,-0.0730998915239202
"SL18-NL-9-FG2xSA18-CB-7-MG1",-0.148129123911241,"SL18-NL-9-FG2xSA18-CB-7-MG1",-0.0939339339339332,NA,-0.0939339339339285,NA,0.0357948546812997
"SL18-NL-9-FG2xSL18-SF-19-MG1",-0.180565827382321,"SL18-NL-9-FG2xSL18-SF-19-MG1",-0.0102702702702688,NA,-0.0102702702702651,NA,-0.0759833014982001
"SL18-OD-5-FG1xSL18-CC-8-MG2",-0.131400627970926,"SL18-OD-5-FG1xSL18-CC-8-MG2",NA,-1.06091685575,NA,-1.06091685575,-0.121069694730054
"SL18-OD-5-FG3xSA18-CB-1-MG12",0.0255708162919011,"SL18-OD-5-FG3xSA18-CB-1-MG12",NA,-0.964438352000001,NA,-0.964438351999998,-0.0604500758286834
"SL18-OI-11-FG1xSL18-SF-15-MG2",-0.18685527579411,"SL18-OI-11-FG1xSL18-SF-15-MG2",-0.130090090090089,NA,-0.130090090090084,NA,0.0661182348368171
"SL18-OI-11-FG3xSL18-CC-1-MG3",0.853950518459165,"SL18-OI-11-FG3xSL18-CC-1-MG3",NA,-0.415482602999976,NA,-0.415482603000004,0.171047051491356
"SL18-OI-11-FG3xSL18-NC-2-MG1",0.848318325172327,"SL18-OI-11-FG3xSL18-NC-2-MG1",NA,0.329919581000002,NA,0.329919581,0.192439170073525
"SL18-OI-15-FG1xSA18-CB-2-MG3",-0.0318469011476353,"SL18-OI-15-FG1xSA18-CB-2-MG3",-0.0650900900900892,-1.031079711,-0.0650900900900844,-1.031079711,0.0455151990756343
"SL18-OI-15-FG1xSL18-NL-5-MG1",-0.272114049518571,"SL18-OI-15-FG1xSL18-NL-5-MG1",-0.189819819819819,NA,-0.189819819819814,NA,-0.0198713379218682
"SL18-OI-15-FG1xSL18-SF-15-MG1",0.0478859504814277,"SL18-OI-15-FG1xSL18-SF-15-MG1",0.13018018018018,NA,0.130180180180186,NA,0.0736415560573025
"SL18-OI-15-FG2xSA18-CB-2-MG3",0.32390406291747,"SL18-OI-15-FG2xSA18-CB-2-MG3",NA,-0.589153600249998,NA,-0.589153600250001,0.0819263574924381
"SL18-OI-16-FG2xSL18-OI-18-MG1",-0.225585224952336,"SL18-OI-16-FG2xSL18-OI-18-MG1",NA,-1.344829201,NA,-1.344829201,-0.0854379291633927
"SL18-OI-16-FG3xSA18-CB-4-MG3",-0.0855630358334991,"SL18-OI-16-FG3xSA18-CB-4-MG3",0.0547297297297309,NA,0.0547297297297354,NA,-0.0228760415524203
"SL18-OI-16-FG3xSA18-CB-5-MG3",-0.318127888117816,"SL18-OI-16-FG3xSA18-CB-5-MG3",-0.221831831831831,NA,-0.221831831831827,NA,-0.0611857260399617
"SL18-OI-16-FG3xSL18-LD-3-MG2",-0.134437302176354,"SL18-OI-16-FG3xSL18-LD-3-MG2",0.0214264264264274,NA,0.0214264264264319,NA,-0.0378893804233439
"SL18-OI-16-FG3xSL18-NL-6-MG1",-0.283279376459376,"SL18-OI-16-FG3xSL18-NL-6-MG1",-0.166516516516515,NA,-0.166516516516511,NA,-0.0336696729508879
"SL18-OI-16-FG3xSL18-SF-17-MG2",-0.0343977088926987,"SL18-OI-16-FG3xSL18-SF-17-MG2",0.0714264264264276,NA,0.0714264264264318,NA,0.0111635373106935
"SL18-OI-17-FG1xSL18-OI-4-MG1",-0.261393102815155,"SL18-OI-17-FG1xSL18-OI-4-MG1",NA,-1.3406682975,NA,-1.3406682975,-0.0390376250463284
"SL18-OI-17-FG1xSL18-SF-13-MG2",0.0181079224710602,"SL18-OI-17-FG1xSL18-SF-13-MG2",0.0949099099099107,NA,0.0949099099099155,NA,0.0530458787913558
