"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SL18-OD-5-FG3",-0.0256527796129901,-0.29613082206052,-0.0463337856587069,-0.146286113346701,-0.0280040633815161,-4.34892057091056
"SL18-LL-9-FG6",0.00478303701284284,0.0591388296082419,-0.101494975215643,-0.350006882589648,-0.0624295464930805,1.1678068358822
"SL18-OI-15-FG2",0.0342152610956306,0.128817557951115,0.0635932630596646,0.253466593806561,0.064440276321218,27.6418878086463
"SA18-CB-5-FG4",0.0138960048114036,-0.221821560140053,0.0059568492908202,0.0174473143868121,0.0282850177508443,-16.5085914835274
"SL18-OI-4-FG2",0.0751327718666591,0.388968450783153,0.111847555794901,0.253148292643746,0.169847733795757,50.4997864657442
"SL18-CC-8-FG2",0.0210144871007175,0.0863319490880031,0.0324386545011233,0.125974161655195,-0.110584878012856,3.78336038245883
"SL18-OI-6-FG3",0.117474831808729,-0.409067190478851,0.110703661880796,0.217036439321392,0.568996857560576,-8.17355405674102
"SL18-CC-9-FG3",-0.0043433849056866,0.233927547611847,-0.0174293159649361,-0.0534024266205062,-0.0332920725926641,-3.14373611212758
"SL18-NC-9-FG2",-0.0248023698351259,-0.30096463688382,-0.0362861970329131,-0.0740015586240347,0.0769448014006325,-5.2671318528197
"SL18-LD-9-FG4",0.00250298312099175,-0.14068735325635,-0.00115098437095237,0.0252642397903929,0.0225396159871178,-3.44773218321637
"SL18-OI-9-FG4",0.0175460151463884,-0.544380864301733,0.0187374584928503,0.0282981178004614,0.110912938216024,7.8780922397174
"SL18-CC-6-FG2",-0.00946350589032118,0.642274970277405,-0.00447278199417463,0.102322358698167,-0.119299808118783,-6.04417700537512
"SL18-NC-1-FG1",-0.0339992458367393,-0.0924246371480905,-0.0655223617538221,-0.195176893353403,-0.0516123614792141,-6.67644554639067
"SA18-CB-5-FG6",0.0232366651077727,-0.378374716447,0.0197447312464287,0.0738730835066403,0.0195664923456328,-19.215334740735
"SL18-CC-6-FG1",-0.0231599158414691,0.420968744034927,-0.0492935086971003,-0.16375606407337,-0.0641249019606487,-11.8415184490023
"SL18-JS-5-FG2",-0.0307614415736562,0.0572463794039921,-0.0628085713837291,-0.147261514453974,-0.159269091060933,-20.5126743392984
"SL18-CC-10-FG4",0.0442670408367429,0.0144356869095943,0.0612062654439669,0.177052454494958,0.040518964338163,-3.95681464444234
"SL18-NC-5-FG3",-0.0401737446471893,0.593876451272236,-0.0765125043294695,-0.265822038532907,-0.112985867717106,-3.78084581067796
"SL18-OI-16-FG2",-0.0288157248146092,0.143660302311009,-0.0493985925548679,-0.135731097636509,0.0667868365943312,7.797318780056
"SL18-SF-13-MG2",0.0273808477907852,0.153891603692455,0.0600778577677568,0.170398716639395,0.105649615611207,16.8512639338128
"SL18-LD-10-MG1",0.00861179337248251,0.0735140450784378,0.0129340415455313,0.0755222943306848,0.0202264044188449,10.4476539365106
"SL18-LL-9-MG1",0.00478320908537054,0.0591342104602041,-0.0571187877547278,-0.258488592904134,0.0523419721398573,-30.8223317734268
"SL18-LD-1-MG2",0.00965054390784655,-0.0891956055701142,-0.0490081504952648,-0.228769189961116,0.117055014734867,-23.3021093921569
"SL18-LD-5-MG1",-0.00368371872325766,-0.0477311542922146,-0.0424285797562079,-0.0007553923819122,-0.0827879369961743,-7.60318118063291
"SL18-LL-9-MG2",0.00358888398162574,-0.0984133424968668,-0.0334445801277648,-0.0748959464148971,-0.0881670246225385,5.83182788643184
"SL18-NL-9-MG2",-0.0184083982129815,0.198746963031665,-0.0304861233481235,-0.0748392476071954,-0.14127399452666,-12.5685724947485
"SL18-JS-16-MG1",-0.0265889964614307,0.468990274795009,-0.0288122405831095,-0.014061740774722,-0.0273696209172376,-16.9568567103832
"SL18-CC-8-MG2",-0.018628362845966,-0.238750653451703,-0.0400936457804998,-0.0982313971341958,-0.077082459327937,-2.82545327553281
"SL18-OI-9-MG2",-0.00628099000701653,-0.204488064453751,-0.0292420906830152,-0.124151158753707,0.0739880702870711,6.27978461932617
"SL18-LD-2-MG4",0.00759539639343658,0.0998163424532033,0.0071204382523945,-0.0190072211127974,0.20451490951065,-28.4445973348155
"SL18-NC-9-MG1",-0.0230780325327994,-0.023238262000269,-0.0228424234561307,-0.0172863260061384,0.0955248779680912,-9.53886668954583
"SL18-NC-5-MG1",-0.0525215843601763,0.552046818563636,-0.100192162487556,-0.408780052476002,-0.112790679434401,-13.6360108913511
"SL18-OI-16-MG3",-0.0460854867048014,0.226553281802602,-0.0776854485752876,-0.253036838419111,0.0916196522443616,-9.84364389899125
"SL18-OI-15-MG3",0.0244088156371842,0.173886927169554,0.019061474750043,0.118224914151661,0.0491301184551046,26.826440497493
"SL18-NC-2-MG3",0.0411588438802039,0.496857025404087,0.0722075842230539,0.280747586868649,-0.0925832298702912,13.9306389183398
"SL18-CC-11-MG5",0.0833168067880118,0.296320579141301,0.126357563094296,0.452107883967958,-0.119928395480013,46.8548472512183
"SL18-JS-9-MG3",-0.0569317734619094,0.289467777701237,-0.10776688776827,-0.322893547721597,-0.0612632383035511,-16.3539340327752
"SL18-NC-10-MG2",-0.0554789922784026,0.0954570271932397,-0.0926362049375339,-0.168078032074784,-0.25569546298841,1.7052240090629
"SL18-OI-11-MG3",-0.0183688784625572,0.0557314568456672,-0.0500435869207201,-0.0949099625388003,0.0263888032176317,4.3895497705255
"SL18-OI-18-MG3",-0.0197034159179867,-0.0790293668998687,-0.0283908640350558,-0.0668443207784223,0.168690129451012,-23.4067675235721
"SL18-NC-15-MG3",0.00521978570614515,0.370980937568559,0.0267855346899794,0.126255381634537,-0.0295017310655321,78.9192756041071
"SL18-NC-5-MG3",-0.0549746312980873,0.666383209067596,-0.11517427888839,-0.422109301637067,-0.137471210397837,-14.7862784112393
"SL18-NC-12-MG3",-0.0451340135726478,0.13697456639562,-0.0684883734887446,-0.172825566441929,-0.0411618539694302,-8.83483669204726
"SL18-CC-1-MG2",-0.0182206197268005,0.746519770703541,-0.0337186111551721,-0.104206340812464,0.0170881531967837,-9.45961373722198
"SL18-CC-2-MG5",0.0579967276445139,0.286555996501936,0.0913563281657459,0.286123933067856,-0.130464218636567,-0.982498105624088
"SL18-OI-7-MG3",0.083048391149501,-0.087466298397688,0.0963621302818118,0.317910390101528,-0.0357975578227728,28.8919412786788
"SL18-NC-8-MG2",-0.0554456149254996,0.14720179608647,-0.103952699971766,-0.330745037820439,0.0172894200863526,-20.167292935517
"SL18-OI-5-MG3",-0.0215344336448112,-0.335041083136837,-0.0720764195921872,-0.270846014515124,0.0938866133007823,-14.5894433634746
"SL18-NC-2-MG2",0.046295517713479,0.317052141792541,0.0770660630716982,0.245805415294993,-0.0155068558014108,2.94630906450343
"SL18-FW-2-MG2",-0.00872112848686153,-0.38583386600606,0.0266819147453088,0.0760266156652413,0.0214525062647092,9.11031203692742
"SL18-PI-1-MG1",-0.030214646188177,-0.340385992665204,-0.00305522788206452,0.00937430995895046,-0.0308156699764654,5.9297113021093
"SL18-PI-1-MG2",-0.0224221529106223,-0.416888052668768,0.00606014789621598,0.0276087735485131,-0.0302323605568673,4.65529259664239
"SL18-PI-1-MG4",-0.0167128003821314,-0.551126282181805,0.0204899504784662,0.0572349018843547,0.0178190733965895,11.9306264773563
"SL18-CC-6-MG11",-0.0206128546026457,0.386462075468625,-0.0247039862469799,-0.0121179941285752,-0.0667700548751556,-14.1840559039631
"SL18-NL-3-MG1",-0.0306375988942598,0.641651842912095,-0.0450566183443987,-0.13494128506031,-0.0808294498638674,-14.6636494357262
"SL18-TI-1-MG2",-0.0089808768415828,-0.412515156460841,0.0216336781568642,0.0688805228806341,0.0187397694998111,6.16493758406715
"SL18-TI-2-MG3",-0.012638876823503,-0.373796593366002,0.0148532662168853,0.0404799829629408,0.024880672670511,5.65065658535336
"SL18-TI-3-MG11",-0.00905259915898251,-0.449386584134321,0.0124259255966452,0.0255601052515579,0.0213200581501748,2.89579648234818
"SL18-TI-4-MG1",-0.00884532843134182,-0.429404708909343,0.0274000561126696,0.0875541963429473,0.0424145820090773,9.14528930584674
"SL18-TI-4-MG3",-0.017644728791269,-0.423527582369101,0.0131600445101779,0.0445410194355703,0.010608760284846,7.69613060295992
"SL18-BL-10-MG2",-0.0112587781529038,-0.452481211289375,0.0200426028304775,0.0630275817499742,0.0256432673201345,13.3510798143568
"SL18-BL-11-MG4",-0.00876531002856178,-0.479444583242059,0.0195219064876093,0.0499256920044595,0.0233942295215192,3.50701420246706
"SL18-BL-12-MG1",-0.00728847145194867,-0.537470812399814,0.0300712220499297,0.0899191225017757,0.0430079250210529,9.19189987497545
"SL18-BL-12-MG3",-0.00647576430161073,-0.527743944062955,0.0291594869904793,0.0818242136925932,0.0498194344751106,7.85457856855116
"SL18-BL-17-MG3",-0.0107725173581799,-0.305950755832746,0.0171443500896669,0.0539499709516075,0.00817760472098036,9.69492327068302
"SL18-OD-3-MG3",-0.0293982167407926,0.2136820988664,-0.044532329658266,-0.128126314403625,-0.0158275340625336,-9.8195973354487
