,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
2019_182,-1.499535937,-0.910580892,-0.122712218,-162.9038007,SL18-OI-6-FG1xSL18-SF-19-MG1,-8.952666998,-27.86175043,-4.767672078,-7.42444184,-75.87698453
2019_183,-1.174709803,0.45030531,-0.084695247,-5.203870796,SL18-OI-7-FG3xSA18-CB-2-MG3,-158.3653384,51.14590634,4.381798644,43.45207321,-30.59748407
2019_186,-0.975082785,-0.736775625,-0.07401922,34.34841996,SL18-OI-9-FG1xSL18-LL-9-MG2,239.9524106,-41.0909194,-2.87304713,-76.34134332,49.78424754
2019_189,-1.161790602,2.823976899,0.018245119,-176.0792329,SL18-SF-13-FG1xSL18-LL-9-MG3,127.5150449,-47.85775039,5.381867917,-26.93403424,-27.00631625
2019_19,3.195083096,-0.346785754,0.216588791,-76.51491509,SL18-LD-1-FG2xSA18-CB-4-MG3,-141.1159676,49.71500186,3.154888052,14.56648046,110.4350285
2019_190,-1.608618443,1.045010416,-0.124348767,-170.9318677,SL18-SF-17-FG1xSL18-LL-9-MG1,187.1236914,-14.26998187,-3.094009941,3.958277113,108.5346787
2019_192,2.140680492,-1.75081394,0.103099085,155.0804801,SL18-SF-17-FG3xSA18-CB-10-MG1,22.50905596,9.257021276,11.34725523,1.778186189,59.0018006
2019_193,-0.066751081,-0.368673907,-0.035694158,-215.879698,SL18-SF-17-FG3xSA18-CB-3-MG3,-42.52656741,27.39643612,5.835129687,-56.64862719,35.90271786
2019_194,-1.28192871,-0.037041719,-0.073932671,-4.040445148,SL18-SF-17-FG3xSL18-LD-2-MG1,14.84468328,64.04408256,12.56993644,28.91898746,45.14679412
2019_195,-1.712127406,1.872762551,-0.144305742,-81.42775402,SL18-SF-17-FG3xSL18-NL-10-MG2,45.11797133,28.61354203,-4.483161538,37.49970635,-20.81258809
2019_196,0.487496562,-0.728973057,0.008535275,-239.5238223,SL18-SF-17-FG3xSL18-NL-2-MG3,156.7992218,45.40207353,12.87908136,-2.861133298,44.85616047
2019_197,0.07375358,-0.676715421,0.01265336,12.31499672,SL18-SF-17-FG3xSL18-NL-9-MG1,186.0911607,92.53113886,17.56940329,1.949661814,60.99695614
2019_198,0.168862369,-0.8769161,-0.01209219,241.5237004,SL18-SF-17-FG3xSL18-OI-7-MG1,62.60298918,32.50945647,-1.53747653,-0.334044742,36.98321946
2019_199,0.317274201,-0.066103351,0.018871325,117.2185321,SL18-SF-17-FG3xSL18-OI-9-MG3,-84.44411289,-11.09715468,-10.29288379,-13.88196359,39.78125839
2019_2,-0.46950022,-0.227231378,-0.022238185,-149.2601781,SA18-CB-10-FG2xSL18-LL-9-MG1,-111.2225513,-40.7567453,-6.007784639,-97.42223944,-148.0857142
2019_20,-0.624403056,-0.167171486,-0.022930692,144.4993415,SL18-LD-1-FG2xSL18-SF-13-MG3,137.4754656,-12.07767631,-1.110740277,-21.22412409,11.44528967
2019_21,0.677113636,-2.049048121,0.035673468,146.223932,SL18-LD-1-FG2xSL18-SF-15-MG1,-53.33747682,-9.279431016,-9.308814717,-25.04815746,46.45392818
