UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM287,287,SL18-JS-5-FG2xSL18-CC-7-MG2,SL18-JS-5-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,89,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM288,288,SL18-JS-5-FG2xSL18-OI-18-MG3,SL18-JS-5-FG2,SL18-OI-18-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM289,289,SL18-JS-9-FG2xSL18-CC-7-MG1,SL18-JS-9-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,2,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM290,290,SL18-JS-9-FG2xSL18-CC-7-MG2,SL18-JS-9-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM291,291,SL18-JS-9-FG2xSL18-OI-18-MG3,SL18-JS-9-FG2,SL18-OI-18-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM292,292,SL18-JS-9-FG2xSL18-OI-18-MG4,SL18-JS-9-FG2,SL18-OI-18-MG4,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM293,293,SL18-JS-9-FG2xSL18-JS-11-MG3,SL18-JS-9-FG2,SL18-JS-11-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM294,294,SL18-NC-10-FG1xSL18-OI-11-MG2,SL18-NC-10-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM295,295,SL18-NC-10-FG1xSL18-CC-2-MG6,SL18-NC-10-FG1,SL18-CC-2-MG6,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM296,296,SL18-NC-12-FG2xSL18-OI-9-MG3,SL18-NC-12-FG2,SL18-OI-9-MG3,Extra,7,Scott,Y,,Throw away,,GP,Green,GP,,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM297,297,SL18-NC-12-FG2xSL18-OI-14-MG1,SL18-NC-12-FG2,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM298,298,SL18-NC-15-FG1xSL18-OI-18-MG1,SL18-NC-15-FG1,SL18-OI-18-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM299,299,SL18-NC-15-FG1xSL18-OI-11-MG2,SL18-NC-15-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,4,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM301,301,SL18-NC-15-FG2xSL18-OI-18-MG1,SL18-NC-15-FG2,SL18-OI-18-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM302,302,SL18-NC-15-FG2xSL18-OI-11-MG2,SL18-NC-15-FG2,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,12,,11/19/2020,12/3/2020,12/17/2020,SP,MD,
GOM303,303,SL18-NC-15-FG2xSL18-CC-2-MG6,SL18-NC-15-FG2,SL18-CC-2-MG6,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM304,304,SL18-NC-15-FG2xSL18-CC-7-MG1,SL18-NC-15-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM305,305,SL18-NC-15-FG2xSL18-CC-7-MG2,SL18-NC-15-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM310,310,SL18-NC-1-FG1xSL18-OI-11-MG2,SL18-NC-1-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,SP_100,"not healthy, bacteria",EmbrSP,,GP,,11/2/2020,19,,11/16/2020,11/30/2020,12/14/2020,GP,HD,
GOM312,312,SL18-NC-5-FG2xSL18-CC-11-MG6,SL18-NC-5-FG2,SL18-CC-11-MG6,Extra,7,Scott,Y,,Throw away,,GP,"Dead, green",GP,bleached,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM313,313,SL18-NC-5-FG2xSL18-LD-9-MG1,SL18-NC-5-FG2,SL18-LD-9-MG1,Extra,7,Scott,Y,,Throw away,"not healthy, bleached",GP,Dead,GP,"Almost dead, bleached",NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM319,319,SL18-NL-10-FG2xSL18-UCONN-S32-MG2,SL18-NL-10-FG2,SL18-UCONN-S32-MG2,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM320,320,SL18-NL-2-FG1xSL18-OI-9-MG3,SL18-NL-2-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,GP,"not healthy, bacteria",GP,Green,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM321,321,SL18-NL-2-FG1xSL18-OI-14-MG1,SL18-NL-2-FG1,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM322,322,SL18-NL-2-FG1xSL18-OI-18-MG1,SL18-NL-2-FG1,SL18-OI-18-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,2,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
