,BLUE_DwPM_2Yrs,Rank_2Yrs,BLUE_DwPM_2019,Rank_2019,BLUE_DwPM_2020,Rank_2020,BV_DWpM,Rank_BV,,,,
SA18-CB-4-FG3xSA18-CB-4-MG3,-0.168127888,155,-0.0718,45,NA,NA,0.024681601,84,,,,
SL18-NL-2-FG1xSA18-CB-1-MG2,-0.095582663,124,-0.0783,46,NA,NA,0.034090929,74,,,,
SL18-NL-10-FG1xSL18-SF-13-MG1,-0.108377241,130,-0.0861,47,NA,NA,0.062482519,52,,,,
SL18-NL-6-FG1xSL18-LD-1-MG2,-0.194397709,163,-0.0886,48,NA,NA,-0.001782154,115,,,,
SL18-OI-6-FG1xSL18-SF-15-MG1,-0.205014653,168,-0.0936,49,NA,NA,0.053439046,56,,,,
SL18-NL-9-FG2xSA18-CB-7-MG1,-0.148129124,147,-0.0939,50,NA,NA,0.035794855,71,,,,
SL18-SF-17-FG3xSA18-CB-10-MG1,-0.126963797,133,-0.1072,51,NA,NA,0.096287701,37,,,,
SL18-OI-18-FG1xSL18-OI-9-MG3,-0.126963797,134,-0.1072,52,NA,NA,0.021983929,87,,,,
SL18-OI-18-FG5xSA18-CB-4-MG3,-0.280565827,200,-0.1103,53,NA,NA,0.002295453,113,,,,
SA18-CB-10-FG2xSL18-LL-9-MG1,-0.168129124,156,-0.1139,54,NA,NA,0.008377833,102,,,,
SL18-LD-10-FG1xSA18-CB-1-MG2,-0.233279376,180,-0.1165,55,NA,NA,0.017403538,91,,,,
SL18-OI-6-FG1xSA18-CB-2-MG1,-0.2594005,191,-0.1236,56,NA,NA,0.007775341,103,,,,
SL18-OI-18-FG2xSL18-NL-2-MG2,-0.235014653,182,-0.1236,57,NA,NA,-0.055577789,168,,,,
SL18-LD-9-FG3xSL18-NL-7-MG1,-0.2587171,189,-0.1256,58,NA,NA,-0.072227244,183,,,,
SL18-LD-9-FG3xSL18-SF-17-MG1,-0.163122575,154,-0.1286,59,NA,NA,0.005630451,109,,,,
SL18-OI-11-FG1xSL18-SF-15-MG2,-0.186855276,161,-0.1301,60,NA,NA,0.066118235,49,,,,
SL18-SF-17-FG3xSL18-NL-2-MG3,-0.229977851,178,-0.1386,61,NA,NA,-0.031378088,148,,,,
SL18-OI-18-FG2xSL18-LD-10-MG1,-0.198705239,165,-0.1469,62,NA,NA,-0.010625296,124,,,,
SL18-NL-6-FG1xSL18-LD-2-MG1,-0.135254665,140,-0.1475,63,NA,NA,0.030203161,76,,,,
SL18-NL-6-FG1xSL18-SF-19-MG2,-0.176963797,158,-0.1572,64,NA,NA,0.073048309,47,,,,
SL18-LD-3-FG2xSL18-LL-9-MG2,-0.258965217,190,-0.1577,65,NA,NA,-0.061859021,174,,,,
SL18-LD-10-FG1xSL18-OI-4-MG1,-0.289293215,205,-0.1585,66,NA,NA,-0.047220619,164,,,,
SL18-SF-17-FG3xSL18-LD-2-MG1,-0.218129124,175,-0.1639,67,NA,NA,-0.022708835,139,,,,
SL18-LD-4-FG2xSL18-SF-15-MG2,-0.191852484,162,-0.1651,68,NA,NA,0.014975579,93,,,,
SL18-OI-16-FG3xSL18-NL-6-MG1,-0.283279376,201,-0.1665,69,NA,NA,-0.033669673,150,,,,
SL18-LL-9-FG3xSL18-NL-9-MG1,-0.324437302,219,-0.1686,70,NA,NA,-0.129913331,230,,,,
SL18-NL-3-FG1xSL18-OI-11-MG2,-0.23497506,181,-0.1736,71,NA,NA,-0.095133226,209,,,,
SL18-OI-6-FG1xSL18-LD-13-MG2,-0.251892078,188,-0.1751,72,NA,NA,-0.024914564,142,,,,
SL18-LD-1-FG3xSL18-OI-15-MG2,-0.206963797,169,-0.1872,73,NA,NA,0.05321879,57,,,,
SL18-OI-7-FG3xSA18-CB-2-MG3,-0.288965217,204,-0.1877,74,NA,NA,0.025536252,83,,,,
SL18-LD-4-FG2xSL18-LL-9-MG1,-0.294397709,207,-0.1886,75,NA,NA,-0.098437371,213,,,,
SL18-OI-15-FG1xSL18-NL-5-MG1,-0.27211405,195,-0.1898,76,NA,NA,-0.019871338,133,,,,
SL18-OI-18-FG3xSL18-LL-9-MG1,-0.27211405,196,-0.1898,77,NA,NA,-0.072310533,184,,,,
SL18-SF-17-FG1xSL18-LL-9-MG1,-0.288127888,203,-0.1918,78,NA,NA,-0.05357381,167,,,,
SL18-SF-17-FG3xSL18-OI-9-MG3,-0.215582663,173,-0.1983,79,NA,NA,0.021278878,88,,,,
SL18-LD-2-FG2xSL18-NL-9-MG1,-0.3387171,224,-0.2056,80,NA,NA,-0.101302971,214,,,,
SL18-LD-2-FG2xSA18-CB-3-MG3,-0.21,170,-0.2100,81,NA,NA,0.04361283,65,,,,
SL18-NL-10-FG3xSL18-NL-3-MG2,-0.292545225,206,-0.2135,82,NA,NA,-0.093240945,204,,,,
SL18-NL-3-FG1xSL18-SF-13-MG2,-0.238377241,184,-0.2161,83,NA,NA,-0.030005786,147,,,,
SL18-SF-17-FG3xSL18-NL-9-MG1,-0.268705239,194,-0.2169,84,NA,NA,-0.06946341,180,,,,
SL18-SF-17-FG3xSL18-NL-10-MG2,-0.30211405,211,-0.2198,85,NA,NA,-0.046339072,161,,,,
SL18-OI-16-FG3xSA18-CB-5-MG3,-0.318127888,218,-0.2218,86,NA,NA,-0.061185726,173,,,,
SL18-LD-3-FG1xSL18-SF-19-MG2,-0.278705239,198,-0.2269,87,NA,NA,-0.00792638,120,,,,
SL18-SF-17-FG3xSL18-OI-7-MG1,-0.245582663,185,-0.2283,88,NA,NA,0.025974749,81,,,,
SL18-OI-6-FG1xSL18-LD-5-MG1,-0.359293215,228,-0.2285,89,NA,NA,-0.045446107,160,,,,
SL18-OI-17-FG2xSL18-SF-17-MG2,-0.334397709,222,-0.2286,90,NA,NA,0.007378578,105,,,,
SL18-LD-1-FG3xSL18-OI-7-MG1,-0.23,179,-0.2300,91,NA,NA,-0.021167745,135,,,,
SL18-LD-4-FG1xSL18-NL-3-MG2,-0.353279376,226,-0.2365,93,NA,NA,-0.08203694,192,,,,
SL18-OI-18-FG6xSL18-NL-6-MG1,-0.353279376,227,-0.2365,94,NA,NA,-0.022318242,137,,,,
SL18-NL-2-FG3xSL18-LD-3-MG2,-0.329977851,221,-0.2386,95,NA,NA,-0.083801407,193,,,,
SL18-OI-6-FG1xSL18-NL-9-MG1,-0.30497506,212,-0.2436,96,NA,NA,-0.064497418,177,,,,
SL18-OI-18-FG2xSL18-LD-9-MG1,-0.298129124,210,-0.2439,97,NA,NA,-0.01810591,130,,,,
SL18-LD-4-FG3xSL18-SF-17-MG1,-0.235254665,183,-0.2475,98,NA,NA,-0.004050577,118,,,,
SL18-LD-3-FG2xSL18-SF-17-MG3,-0.316855276,217,-0.2601,99,NA,NA,-0.016819429,128,,,,
SL18-OI-2-FG3xSL18-SF-17-MG1,-0.32497506,220,-0.2636,100,NA,NA,-0.00564149,119,,,,
