Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-UCONN-S158-FG1,female,0.000535785,4.56E-06,,0.018786749,0.000225188,,-0.687704999,0.104419675,0.08765403
SL18-UCONN-S158-FG2,female,0.000535785,4.56E-06,,0.018786749,0.000225188,,-0.687704999,0.104419675,0.08765403
SL18-PI-1-FG1,female,0.03371754,0.000807555,,0.017871821,1.70E-05,,-0.148747865,0.050687655,0.134873066
SL18-PI-1-FG3,female,0.00564336,0.000420164,,0.017646299,0.000494351,,-0.093609143,0.101734439,-0.045782251
SL18-SF-17-FG1,female,0.100819244,1.98E-05,30,0.014532945,9.89E-08,,-0.548597735,0.017948461,0.014640671
SA18-CB-5-FG3,female,-0.038346066,4.68E-07,,0.013677466,8.48E-06,,-0.292081986,-0.015085501,-0.05449274
SL18-LD-9-FG1,female,-0.019928508,0.000894434,,0.011649058,0.000613154,,0.020649958,0.086001135,-0.108052281
SL18-NL-3-FG2,female,-0.027815083,0.003298251,,0.011355437,0.006548107,,0.995036101,0.234443578,-0.223753771
SL18-UCONN-S142-FG4,female,0.038940759,0.000385319,,0.011162754,0.000468377,,-0.365897497,0.097287667,-0.003826557
SL18-UCONN-S142-FG3,female,0.038940759,0.000385319,,0.011162754,0.000468377,,-0.365897497,0.097287667,-0.003826557
SL18-UCONN-S142-FG2,female,0.038940759,0.000385319,,0.011162754,0.000468377,,-0.365897497,0.097287667,-0.003826557
SL18-UCONN-S142-FG1,female,0.038940759,0.000385319,,0.011162754,0.000468377,,-0.365897497,0.097287667,-0.003826557
SL18-NL-6-FG3,female,-0.071986973,0.00249379,,0.008403314,0.00295957,,0.17695539,0.083833978,-0.197214251
SL18-UCONN-S2-FG3,female,0.098157131,2.45E-06,32,0.008377874,4.99E-08,,-0.122513894,-0.112394397,0.028467716
SL18-UCONN-S2-FG1,female,0.098157131,2.45E-06,34,0.008377874,4.99E-08,,-0.122513894,-0.112394397,0.028467716
SL18-UCONN-S2-FG2,female,0.098157131,2.45E-06,33,0.008377874,4.99E-08,,-0.122513894,-0.112394397,0.028467716
SL18-NL-2-FG1,female,-0.067706957,0.004218341,,0.00584272,0.008402795,,0.003142423,-0.01597581,0.026784029
SL18-CC-9-FG6,female,-0.046257642,5.93E-06,,0.005717168,0.000633421,,0.245128315,0.040773825,-0.078634237
SA18-CB-5-FG4,female,-0.052968313,3.94E-07,,0.005556921,1.91E-05,,-0.304405466,-0.005213337,0.084458434
SL18-OI-7-FG3,female,0.047245586,0.00030947,,0.005478931,2.75E-08,,-0.240965944,-0.040189535,-0.021869771
SL18-OI-6-FG1,female,0.206656986,1.33E-05,10,0.005031997,1.03E-08,,-1.304478548,-0.027398943,0.317810101
SL18-CC-1-FG1,female,-0.040094275,9.02E-07,,0.003901982,2.00E-07,,1.129114518,0.170340499,0.070629149
SA18-CB-5-FG5,female,-0.0385702,1.12E-06,,0.002983482,0.000573937,,-0.217308164,-0.016813215,0.023356531
SL18-OI-18-FG5,female,0.054195245,0.004141965,,0.002874933,0.002119259,,-0.491554217,-0.184977464,0.459732908
SL18-OD-4-FG4,female,8.71E-17,0.001692649,,2.59E-16,0.00146991,,3.08E-16,9.49E-16,-2.01E-16
SL19-LR-2-FG1,female,2.55E-17,0.00138416,,1.90E-16,0.001346969,,-6.87E-17,7.78E-16,-3.59E-16
SL19-LR-5-FG1,female,2.46E-17,0.00112854,,1.18E-16,0.000979966,,4.36E-16,1.83E-16,-4.61E-17
SL18-DB-6-FG1,female,9.16E-17,0.001692649,,-4.89E-17,0.00146991,,-2.72E-17,-1.92E-16,1.80E-16
SL19-LR-5-FG2,female,1.54E-16,0.00112854,,-7.34E-17,0.000979966,,-1.66E-16,-6.07E-17,-3.65E-17
