"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SL18-SF-17-FG2","SL18-SF-17-FG2",0.273258721862844,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0202111092201723,NA,"Ne60",0.0202111092201723,0.273258721862844,0.00729854254209152,0.0995608525776308
"SL18-JS-5-FG1","SL18-JS-5-FG1",-0.198594288704336,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,1.49769656794853e-07,NA,"Ne60",1.49769656794853e-07,-0.198594288704336,1.50133972807909e-08,-0.249553745671422
"SA18-CB-2-FG3","SA18-CB-2-FG3",0.00649596118218087,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,1.03305964613418e-05,NA,"Ne60",1.03305964613418e-05,0.00649596118218087,0.00932158399904956,0.105250409356599
"SL18-CC-3-FG1","SL18-CC-3-FG1",-0.0267309373989114,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,7.15885471003513e-08,NA,"Ne60",7.15885471003513e-08,-0.0267309373989114,0.000682300899578199,0.101387603213874
"SL18-NC-10-FG1","SL18-NC-10-FG1",-0.133976041646854,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,2.63610707784342e-07,NA,"Ne60",2.63610707784342e-07,-0.133976041646854,3.15369993949097e-08,-0.232028857413105
"SL18-OI-17-FG4","SL18-OI-17-FG4",0.185419026039334,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0157361635794116,NA,"Ne60",0.0157361635794116,0.185419026039334,0.0162480669833712,0.137086759441165
"SL18-CC-3-FG2","SL18-CC-3-FG2",0.234180073009488,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.022397178041472,NA,"Ne60",0.022397178041472,0.234180073009488,0.0141573665662721,0.173578226962984
"SL18-CC-1-FG1","SL18-CC-1-FG1",-0.0400942751907585,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,9.02401934164298e-07,NA,"Ne60",9.02401934164298e-07,-0.0400942751907585,1.99708039599347e-07,0.00390198208090065
"SL18-OI-6-FG2","SL18-OI-6-FG2",0.399022224925392,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0262458295878253,NA,"Ne60",0.0262458295878253,0.399022224925392,0.0281441608530099,0.408099709022618
"SL18-CC-12-FG2","SL18-CC-12-FG2",0.307246058727555,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.0247462550742737,NA,"Ne60",0.0247462550742737,0.307246058727555,0.0268684247258159,0.344428801490207
"SL18-NC-10-FG3","SL18-NC-10-FG3",-0.128343612608775,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00122098711410857,NA,"Ne60",0.00122098711410857,-0.128343612608775,4.84480992093533e-08,-0.23720560399438
"SL18-CC-8-FG1","SL18-CC-8-FG1",-0.285702929342122,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,3.17563612899781e-08,NA,"Ne60",3.17563612899781e-08,-0.285702929342122,7.38171762992014e-09,-0.24613823480622
"SL18-NC-5-FG2","SL18-NC-5-FG2",-0.0602612500538912,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00271081833898851,NA,"Ne60",0.00271081833898851,-0.0602612500538912,2.16575737314939e-08,-0.243724900903206
"SL18-CC-6-FG3","SL18-CC-6-FG3",-0.0764569518826928,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,4.95229648345988e-07,NA,"Ne60",4.95229648345988e-07,-0.0764569518826928,1.71257320008459e-08,-0.165300406419479
"SL18-NL-7-FG4","SL18-NL-7-FG4",-0.060811089069416,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00300731186061002,NA,"Ne60",0.00300731186061002,-0.060811089069416,0.000240944282135713,-0.124283614852916
"SL18-CC-3-FG3","SL18-CC-3-FG3",0.0365766405107122,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,3.4326107163534e-07,NA,"Ne60",3.4326107163534e-07,0.0365766405107122,0.0060817969823554,0.129700567230482
"SL18-JS-19-FG3","SL18-JS-19-FG3",-0.0394297682166745,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00256515954625071,NA,"Ne60",0.00256515954625071,-0.0394297682166745,2.61984087342225e-08,-0.189276700546477
"SL18-NC-15-FG3","SL18-NC-15-FG3",-0.170787172388209,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,1.57059990095746e-07,NA,"Ne60",1.57059990095746e-07,-0.170787172388209,4.06173545791273e-08,-0.0982209778030234
"SL18-LL-9-FG2","SL18-LL-9-FG2",-0.171932891091596,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,5.88245452337419e-08,NA,"Ne60",5.88245452337419e-08,-0.171932891091596,1.55733909488445e-08,-0.177952542420398
"SA18-CB-4-FG6","SA18-CB-4-FG6",0.124940791338116,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00675481117144734,NA,"Ne60",0.00675481117144734,0.124940791338116,0.00922378558861026,0.127031641626209
"SL18-JS-9-FG3","SL18-JS-9-FG3",-0.336782839150723,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,5.27317470209537e-08,NA,"Ne60",5.27317470209537e-08,-0.336782839150723,1.92168529363108e-08,-0.27222903548751
"SL18-SF-13-FG2","SL18-SF-13-FG2",0.118368458010984,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00871342902341822,NA,"Ne60",0.00871342902341822,0.118368458010984,0.0201093038968439,0.279082034605287
"SL18-JS-19-FG2","SL18-JS-19-FG2",-0.0504932527536682,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00133482547690075,NA,"Ne60",0.00133482547690075,-0.0504932527536682,2.15265848456918e-08,-0.209093292693232
"SL18-NL-5-FG1","SL18-NL-5-FG1",-0.0594540833867301,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00275672636410234,NA,"Ne60",0.00275672636410234,-0.0594540833867301,0.000926279798835618,-0.079229062509391
"SL18-NC-8-FG1","SL18-NC-8-FG1",-0.174312688840945,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,3.83133176928283e-07,NA,"Ne60",3.83133176928283e-07,-0.174312688840945,0.000554158887540073,-0.141197967458044
"SL18-SF-19-MG2","SL18-SF-19-MG2",0.00778618935387144,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00240807456259241,NA,"Ne60",0.00240807456259241,0.00778618935387144,0.00292084176294498,0.0451729002875645
"SL18-OI-4-MG1","SL18-OI-4-MG1",0.062651532393447,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,1.5933539426948e-06,NA,"Ne60",1.5933539426948e-06,0.062651532393447,2.19781666671794e-08,-0.0669095810651185
"SL18-OI-11-MG2","SL18-OI-11-MG2",0.0115952749338051,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00187159893915448,NA,"Ne60",0.00187159893915448,0.0115952749338051,0.000537763882165361,-0.0129976905219125
"SL18-OI-14-MG2","SL18-OI-14-MG2",-0.00711272230491506,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,1.68975489404398e-06,NA,"Ne60",1.68975489404398e-06,-0.00711272230491506,0.00316688340524769,0.0744760801733646
"SL18-OI-15-MG1","SL18-OI-15-MG1",0.0913287538810981,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00417911065811614,NA,"Ne60",0.00417911065811614,0.0913287538810981,0.00526366233161431,0.12887135884087
"SL18-OI-16-MG1","SL18-OI-16-MG1",-0.021494445952076,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,7.96436409401927e-06,NA,"Ne60",7.96436409401927e-06,-0.021494445952076,5.19723172091078e-08,-0.083783204252625
"SL18-SF-17-MG1","SL18-SF-17-MG1",0.0950284539585673,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.000818802395980588,NA,"Ne60",0.000818802395980588,0.0950284539585673,0.00162502766562265,0.045373105537253
"SA18-CB-7-MG2","SA18-CB-7-MG2",0.318448039216143,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.0222801798245789,NA,"Ne60",0.0222801798245789,0.318448039216143,0.0148956992546722,0.24562884131592
"SL18-NL-3-MG2","SL18-NL-3-MG2",-0.083595565962161,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00103575733634391,NA,"Ne60",0.00103575733634391,-0.083595565962161,4.7338324575051e-08,-0.101895104209455
