"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SL18-OI-7-FG3","SL18-OI-7-FG3","SL18-OI-7-FG3",0.04724558558886,-0.240965943899278,0.00547893127756996,-0.0401895347993721,-0.0218697711828558,NA,91,"female",2,0.5,TRUE,"269","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,3.28799530203698e-11
"SL18-SF-17-FG3","SL18-SF-17-FG3","SL18-SF-17-FG3",0.045846450194948,-0.904156612347309,-0.00489999262433293,0.0591931517079105,-0.0955949214515229,NA,82,"female",2,0.5,TRUE,"271","missing",3,"missing.Age3.female",0,0,0,6.17644949559746e-10,0.99999990831671,0,3.18057941982954e-11
"SL18-OI-7-FG1","SL18-OI-7-FG1","SL18-OI-7-FG1",0.0454425068711965,-0.255291386988581,0.0487481189399972,0.194422415453813,-0.0444151353780154,NA,91,"female",2,0.5,TRUE,"432","missing",3,"missing.Age3.female",0,0,0,3.56008685675574e-10,0.99999990831671,3.53980887361201e-12,3.6085989061233e-11
"SL18-FI-1-FG13","SL18-FI-1-FG13","SL18-FI-1-FG13",0.043905284507856,0.00817078714217504,0.0456813181501061,0.177320502438672,-0.0106576817118086,NA,17,"female",2,0.5,TRUE,"355","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.70899902733099e-11
"SL18-OI-2-FG2","SL18-OI-2-FG2","SL18-OI-2-FG2",0.0415956610256191,-0.161208198415662,-0.0292890484170458,-0.20453745974522,0.167312458048218,NA,60,"female",2,0.5,TRUE,"116","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,3.038607740009e-11
"SL18-BL-12-FG1","SL18-BL-12-FG1","SL18-BL-12-FG1",0.0410418124558221,-0.0713342642261342,0.0630431635498303,0.198084681253462,0.0367881113025364,NA,52,"female",2,0.5,TRUE,"540","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.34271063463272e-11
"SL18-BL-11-FG3","SL18-BL-11-FG3","SL18-BL-11-FG3",0.0401276423297631,-0.0655760217372863,0.0625459399886321,0.201690320106723,-0.000773685088420455,NA,51,"female",2,0.5,TRUE,"542","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.30120568784159e-11
"SL18-BL-11-FG2","SL18-BL-11-FG2","SL18-BL-11-FG2",0.0401276423297629,-0.0655760217372883,0.0625459399886326,0.201690320106724,-0.000773685088420545,NA,51,"female",2,0.5,TRUE,"539","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,1.77130946687398e-11
"SL18-UCONN-S142-FG4","SL18-UCONN-S142-FG4","SL18-UCONN-S142-FG4",0.038940758636337,-0.365897497265098,0.0111627544462535,0.0972876670961044,-0.00382655714507305,NA,565,"female",4,1.25,TRUE,"791","missing",1,"missing.Age1.female",0.0125,0,0,0.01083845753074,0.99999990831671,0.0108380764097126,0.0108371482238518
"SL18-UCONN-S142-FG1","SL18-UCONN-S142-FG1","SL18-UCONN-S142-FG1",0.0389407586363363,-0.365897497265097,0.0111627544462529,0.0972876670961028,-0.00382655714507413,NA,565,"female",4,1.25,TRUE,"795","missing",1,"missing.Age1.female",0.0125,0,0,0.0108383780696808,0.99999990831671,0.0108382416098184,0.0108351703946012
